Dental_Type,Age_Band,Gender,LCG,Activity_Type,Percentage_of_Gross_Earnings_from_Health_Service_Dentistry,Practice_Size,Weekly_Working_Hours,Percentage_of_Dental_Time_Spent_on_Health_Service_Dentistry,Business_Arrangement,Range_of_Taxable_Income_£,Primary_Sample,Estimated_Population,Average_Gross_Earnings_£,Average_Expenses_£,Average_Taxable_Income_£,EER_%,Median_Taxable_Income_£,Q1_Taxable_Income_£,Q1_Taxable_Income_£,Count_of_Dentists,Per_Cent_of_Dentists,Cumulative_Per_Cent_of_Dentists,Total_Items_of_Service,Orthodontic_Items_of_Service,Total_Expenses_£,Office_and_General_Business_£,Premises_£,Employee_£,Car_and_Travel_£,Interest_£,Other_£,Net_Capital_Allowances£,Total_Expenses_%,Office_and_General_Business_%,Premises_%,Employee_%,Car_and_Travel_%,Interest_%,Other_%,Net_Capital_Allowances%
Principal,,,,,,,,,,,150,350,344600,221700,122900,64.3,92200,59700,139300,,,,,,221700,13000,14800,73200,1800,3400,104500,10900,100,5.9,6.7,33,0.8,1.5,47.1,4.9
Associate,,,,,,,,,,,250,500,97900,35200,62700,36,55900,40700,75800,,,,,,35200,5100,3700,1100,600,100,23800,900,100,14.4,10.4,3,1.8,0.3,67.7,2.4
All,,,,,,,,,,,400,850,195300,108800,86500,55.7,62800,46500,95400,,,,,,108800,8200,8100,29500,1100,1400,55700,4800,100,7.5,7.4,27.2,1,1.3,51.2,4.4
All,,,,,,,,,,>=0<50,,,,,,,,,,270,31.2,31.2,,,,,,,,,,,,,,,,,,
All,,,,,,,,,,>=50<75,,,,,,,,,,240,27.4,58.6,,,,,,,,,,,,,,,,,,
All,,,,,,,,,,>=75<100,,,,,,,,,,170,19.1,77.7,,,,,,,,,,,,,,,,,,
All,,,,,,,,,,>=100<150,,,,,,,,,,110,12.8,90.5,,,,,,,,,,,,,,,,,,
All,,,,,,,,,,>=150,,,,,,,,,,80,9.5,100,,,,,,,,,,,,,,,,,,
Principal,,,,,,,,,,>=0<75,,,,,,,,,,120,34.7,34.7,,,,,,,,,,,,,,,,,,
Principal,,,,,,,,,,>=75<125,,,,,,,,,,120,34.6,69.3,,,,,,,,,,,,,,,,,,
Principal,,,,,,,,,,>=125,,,,,,,,,,100,30.7,100,,,,,,,,,,,,,,,,,,
Associate,,,,,,,,,,>=0<75,,,,,,,,,,390,74.2,74.2,,,,,,,,,,,,,,,,,,
Associate,,,,,,,,,,>=75,,,,,,,,,,140,25.8,100,,,,,,,,,,,,,,,,,,
Principal,<35,,,,,,,,,,,50,337500,201100,136400,59.6,,,,,,,,,201100,11200,10000,49600,1400,4800,115300,8700,100,5.5,5,24.7,0.7,2.4,57.4,4.3
Principal,>=35<45,,,,,,,,,,,150,368800,238600,130200,64.7,,,,,,,,,238600,15100,14700,72900,1700,3400,117500,13100,100,6.3,6.2,30.6,0.7,1.4,49.3,5.5
Principal,>=45,,,,,,,,,,,150,327900,214200,113700,65.3,,,,,,,,,214200,11900,16200,79800,2100,2900,91600,9800,100,5.5,7.5,37.3,1,1.4,42.8,4.6
Associate,<35,,,,,,,,,,,300,91300,31000,60300,34,,,,,,,,,31000,4300,3900,300,600,0,21200,600,100,13.9,12.6,0.9,2,0.1,68.5,2
Associate,>=35<45,,,,,,,,,,,150,112500,41800,70700,37.1,,,,,,,,,41800,7800,3500,1200,700,300,27100,1200,100,18.6,8.4,2.9,1.7,0.7,64.9,2.8
Associate,>=45,,,,,,,,,,,100,96200,39000,57200,40.6,,,,,,,,,39000,3100,3000,3600,600,100,27500,1100,100,8,7.6,9.3,1.5,0.2,70.4,2.9
All,<35,,,,,,,,,,,350,123600,53400,70300,43.1,,,,,,,,,53400,5200,4700,6800,700,700,33600,1700,100,9.7,8.8,12.7,1.4,1.2,63,3.2
All,>=35<45,,,,,,,,,,,250,232800,134100,98700,57.6,,,,,,,,,134100,11200,8800,34900,1200,1700,69500,6800,100,8.4,6.6,26,0.9,1.3,51.8,5.1
All,>=45,,,,,,,,,,,250,252800,157400,95400,62.3,,,,,,,,,157400,9000,11900,55100,1600,2000,70800,7000,100,5.7,7.5,35,1,1.3,45,4.4
Principal,,Female,,,,,,,,,,100,275800,192400,83500,69.7,,,,,,,,,192400,11200,13600,70200,1800,3600,80900,11200,100,5.8,7.1,36.5,0.9,1.9,42,5.8
Principal,,Male,,,,,,,,,,250,367900,231600,136300,63,,,,,,,,,231600,13600,15200,74200,1900,3300,112500,10800,100,5.9,6.6,32.1,0.8,1.4,48.6,4.7
Associate,,Female,,,,,,,,,,350,82600,29200,53400,35.4,,,,,,,,,29200,3900,3700,500,600,100,19900,500,100,13.3,12.6,1.8,2.1,0.2,68.1,1.8
