Data is Unweighted,,,Q1. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q2.,,,,,,,,,,,,,,,,,,
National NHS Staff Survey 2012,,,"Have you had any training, learning or development (paid for or provided by your organisation) in the following areas?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"To what extent do you agree or disagree with the following statements? My training, learning and development has helped me to.... ",,,,,,,,,,,,,,,,,,
"This sheet contains questions relating to: types, areas and job-relevance of training, learning and development",,,a) Health and safety training,,,,,b) Equality and diversity training,,,,,"c) How to prevent or handle violence and aggression to staff, patients / service users.",,,,,"d) Infection control (e.g. Guidance on handwashing, MRSA, waste management, disposal of sharps/needles)",,,,,e) How to handle confidential information about patients / service users.,,,,,f) How to deliver a good patient / service user experience,,,,,"g) Any other job-relevant training, learning or development",,,,,a)...do my job more effectively,,,,,,b)...stay up-to-date with professional requirements,,,,,,c)...deliver a better patient / service user experience,,,,,,
"Note: In order to the preserve anonymity of individual staff, where there were fewer than 11 responses to a question responses are not displayed",,,"Yes, in the last 12 months","Yes, more than 12 months ago",No ,Not applicable to me,Base (number of respondents),"Yes, in the last 12 months","Yes, more than 12 months ago",No ,Not applicable to me,Base (number of respondents),"Yes, in the last 12 months","Yes, more than 12 months ago",No ,Not applicable to me,Base (number of respondents),"Yes, in the last 12 months","Yes, more than 12 months ago",No ,Not applicable to me,Base (number of respondents),"Yes, in the last 12 months","Yes, more than 12 months ago",No ,Not applicable to me,Base (number of respondents),"Yes, in the last 12 months","Yes, more than 12 months ago",No ,Not applicable to me,Base (number of respondents),"Yes, in the last 12 months","Yes, more than 12 months ago",No ,Not applicable to me,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),
,,,%,%,%,%,,%,%,%,%,,%,%,%,%,,%,%,%,%,,%,%,%,%,,%,%,%,%,,%,%,%,%,,%,%,%,%,%,,%,%,%,%,%,,%,%,%,%,%,,
,ALL TRUSTS,--,72,21,6,1,"98,998",57,30,12,1,"97,836",39,31,22,8,"97,245",72,18,5,6,"98,900",73,18,6,2,"98,608",44,20,27,9,"96,772",76,12,11,1,"97,166",5,6,21,50,17,"99,437",6,5,15,54,20,"99,267",5,6,25,47,17,"98,600",
,ALL ACUTE TRUSTS,--,74,19,6,1,"62,738",56,28,14,2,"61,763",36,30,26,8,"61,442",74,16,5,5,"62,626",74,18,7,2,"62,417",46,20,27,8,"61,297",74,12,12,2,"61,463",5,6,21,50,17,"62,953",6,5,15,54,20,"62,845",5,6,25,47,17,"62,403",
,ACUTE (SPECIALIST) TRUSTS,--,75,19,5,1,"6,578",58,30,11,1,"6,520",38,31,23,8,"6,475",73,16,4,6,"6,572",80,15,4,2,"6,572",45,18,26,10,"6,450",77,11,10,2,"6,451",5,5,23,50,17,"6,623",5,5,16,54,20,"6,613",5,6,26,47,16,"6,564",
RBS,Alder Hey Children's NHS Foundation Trust,Q31,75,22,3,0,378,65,30,5,1,377,42,34,21,4,370,68,19,5,7,382,71,21,5,2,382,40,18,32,10,368,70,15,14,1,372,7,5,28,47,14,377,6,6,16,53,19,378,7,8,28,45,11,377,
RQ3,Birmingham Children's Hospital NHS Foundation Trust,Q34,64,28,6,1,358,45,39,15,2,358,27,32,33,7,354,60,29,5,5,360,57,33,7,3,358,39,26,27,8,354,75,16,8,0,357,5,6,21,48,20,361,6,5,16,53,21,361,5,4,25,48,17,359,
RLU,Birmingham Women's NHS Foundation Trust,Q34,66,20,12,2,390,46,28,21,4,382,32,28,22,17,387,66,11,8,15,391,82,12,4,2,394,36,11,35,18,380,75,12,11,2,382,3,5,24,51,16,398,3,3,18,57,19,399,3,5,31,47,14,396,
RP4,Great Ormond Street Hospital for Children NHS Foundation Trust,Q36,60,34,6,0,348,52,35,12,1,350,29,37,26,7,350,60,28,5,6,349,65,28,5,1,347,40,30,25,4,346,76,14,9,1,349,6,5,20,46,24,351,6,3,14,54,23,350,6,4,24,45,21,349,
RBQ,Liverpool Heart and Chest NHS Foundation Trust,Q31,79,13,7,1,376,54,24,19,2,361,46,29,20,5,364,81,11,5,4,371,83,10,5,2,368,67,14,16,3,368,74,11,13,2,365,6,4,18,52,20,379,5,4,14,55,23,375,6,4,21,47,22,378,
REP,Liverpool Women's NHS Foundation Trust,Q31,78,16,5,1,388,66,28,6,1,386,40,33,18,9,382,86,7,2,5,390,75,18,5,2,384,50,21,22,7,383,77,10,11,2,385,5,3,23,56,12,391,6,4,14,60,16,392,5,6,23,55,12,392,
RP6,Moorfields Eye Hospital NHS Foundation Trust,Q36,61,32,5,2,302,42,47,11,1,301,23,27,37,13,289,55,23,6,16,298,88,10,1,1,301,53,18,16,14,295,74,14,10,2,292,4,3,22,48,22,307,4,6,18,47,25,304,3,4,26,44,22,305,
RGM,Papworth Hospital NHS Foundation Trust,Q35,84,8,6,1,402,55,29,15,2,400,49,34,12,5,403,87,6,2,5,404,89,9,2,1,402,58,16,18,8,401,82,9,8,2,399,4,4,19,55,19,402,5,4,16,56,20,404,5,5,21,51,19,398,
RPC,Queen Victoria Hospital NHS Foundation Trust,Q37,79,18,3,0,355,63,32,4,0,358,35,39,20,6,351,79,14,3,5,357,84,13,2,1,357,41,28,22,9,352,74,12,11,2,349,6,6,23,48,16,362,6,5,18,50,21,358,5,9,26,45,14,358,
RT3,Royal Brompton and Harefield NHS Foundation Trust,Q36,64,29,6,0,354,46,35,19,1,340,18,26,46,10,340,57,26,9,7,347,59,26,12,3,347,31,22,37,10,342,79,10,10,1,342,3,4,19,51,22,350,5,4,12,54,26,351,4,4,23,45,25,344,
RBB,Royal National Hospital for Rheumatic Diseases NHS Foundation Trust,Q39,74,19,7,0,208,72,23,3,1,207,45,30,17,9,200,87,10,2,1,204,89,7,1,2,205,45,14,32,9,201,72,13,14,1,194,7,5,25,52,11,208,7,7,15,56,14,208,6,6,29,49,11,205,
RAN,Royal National Orthopaedic Hospital NHS Trust,Q36,78,14,7,1,325,60,30,9,1,324,50,25,20,5,323,83,10,3,4,326,87,9,2,2,328,50,14,28,8,319,78,11,10,1,327,5,5,16,54,19,335,7,2,13,55,22,331,5,5,21,51,17,330,
RCU,Sheffield Children's NHS Foundation Trust,Q32,74,19,5,2,310,42,36,20,2,303,39,30,28,4,307,66,17,9,9,303,79,13,6,2,306,35,20,35,9,297,77,10,11,2,303,4,5,23,51,17,309,4,4,18,54,20,312,3,5,31,46,15,306,
RBV,The Christie NHS Foundation Trust,Q31,79,18,2,1,417,76,21,2,0,417,57,21,14,7,410,67,24,2,7,418,81,13,3,2,417,43,18,23,16,408,84,8,7,1,406,3,6,25,52,14,426,3,5,16,58,18,422,3,7,28,49,12,417,
REN,The Clatterbridge Cancer Centre NHS Foundation Trust,Q31,73,25,2,1,271,58,38,5,0,274,37,41,13,9,269,69,27,3,2,272,75,21,3,1,273,34,21,30,14,270,77,13,9,1,269,4,7,23,54,12,272,5,7,17,57,14,273,4,8,28,50,11,269,
RL1,The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,Q34,90,7,3,0,319,75,18,6,1,318,46,26,19,9,317,79,12,3,6,320,86,7,4,2,323,51,13,25,11,311,82,7,10,1,302,5,9,33,41,12,316,6,6,19,53,17,316,5,9,29,45,12,313,
RPY,The Royal Marsden NHS Foundation Trust,Q36,76,19,4,0,471,64,27,8,0,472,30,32,29,10,469,78,14,4,4,475,85,12,2,1,474,39,18,34,10,461,79,11,9,1,466,4,5,20,50,22,474,5,4,11,53,27,474,3,7,27,44,20,467,
RRJ,The Royal Orthopaedic Hospital NHS Foundation Trust,Q34,84,12,3,1,292,61,25,12,1,283,33,31,31,5,283,86,8,3,3,291,85,11,3,1,293,55,15,25,5,291,76,10,12,2,291,5,6,23,47,19,293,5,6,19,51,19,290,4,9,25,45,18,288,
RET,The Walton Centre NHS Foundation Trust,Q31,93,6,1,0,314,67,19,12,2,309,52,30,10,7,307,74,10,5,11,314,89,6,3,1,313,56,14,21,10,303,77,8,12,2,301,7,8,24,47,15,312,7,7,13,52,21,315,6,10,24,45,15,313,
,ACUTE TRUSTS,--,74,19,6,1,"56,160",56,28,14,2,"55,243",36,30,26,8,"54,967",74,16,5,5,"56,054",73,18,7,2,"55,845",46,20,27,8,"54,847",74,12,12,2,"55,012",5,6,21,50,17,"56,330",6,5,15,54,21,"56,232",5,6,25,47,17,"55,839",
REM,Aintree University Hospital NHS Foundation Trust,Q31,68,24,7,1,358,55,33,9,2,352,46,32,13,10,357,62,22,5,11,354,72,19,3,6,359,46,24,20,9,347,70,16,11,3,355,7,4,18,56,15,370,8,7,14,55,17,364,8,6,20,53,13,366,
RCF,Airedale NHS Foundation Trust,Q32,76,20,4,0,332,73,21,6,0,328,36,37,18,10,329,79,17,2,2,332,75,18,6,2,328,42,19,29,9,325,70,12,15,3,322,7,4,23,50,15,335,7,2,16,55,20,335,6,5,29,43,16,331,
RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Q37,92,7,1,0,405,75,18,6,1,403,60,20,11,8,397,92,6,1,1,404,89,5,2,3,402,67,12,11,11,397,75,7,16,2,395,6,8,25,48,14,403,5,6,16,54,18,405,6,7,25,47,14,400,
RF4,"Barking, Havering And Redbridge University Hospitals NHS Trust",Q36,71,21,6,1,320,50,27,20,3,312,32,26,36,6,303,64,19,10,8,313,56,29,12,3,314,42,20,29,8,306,71,12,15,2,314,5,6,18,54,17,318,6,5,14,55,21,319,5,6,23,48,17,314,
RVL,Barnet And Chase Farm Hospitals NHS Trust,Q36,83,14,2,1,435,80,17,3,0,439,46,30,19,5,432,89,8,2,1,439,83,12,4,1,437,50,16,23,11,426,78,10,11,2,430,5,7,20,49,20,441,7,5,15,50,23,440,6,6,24,46,19,438,
RFF,Barnsley Hospital NHS Foundation Trust,Q32,93,5,2,0,508,76,21,2,0,507,54,28,11,7,504,88,9,1,2,506,88,10,1,1,506,56,16,22,6,493,79,11,9,1,499,4,7,26,50,13,508,4,4,13,61,18,509,3,5,26,52,14,506,
R1H,Barts Health NHS Trust,Q36,68,25,6,1,321,50,33,15,3,315,31,30,33,6,312,74,17,5,4,320,73,17,8,3,320,46,22,23,10,314,70,19,10,1,318,7,6,16,49,22,320,6,6,14,51,24,319,6,6,22,46,21,318,
RDD,Basildon and Thurrock University Hospitals NHS Foundation Trust,Q35,86,11,3,0,280,50,25,22,3,268,37,29,24,9,274,65,12,10,13,275,86,9,4,1,281,53,16,23,9,277,83,8,9,1,280,7,5,24,47,17,283,7,3,16,58,17,284,7,6,26,44,17,282,
RC1,Bedford Hospital NHS Trust,Q35,72,20,8,0,419,51,23,24,2,412,38,26,29,7,415,67,21,5,6,420,70,20,7,3,418,44,16,31,8,413,70,13,15,2,412,3,6,22,55,15,422,3,6,15,59,16,421,3,6,24,52,15,420,
RXL,Blackpool Teaching Hospitals NHS Foundation Trust,Q31,75,17,7,1,389,60,27,12,1,386,49,25,18,7,385,83,12,3,2,391,86,10,3,2,387,50,17,25,7,381,76,13,10,2,390,6,7,19,50,17,396,6,5,17,52,20,394,6,7,24,47,17,395,
RMC,Bolton NHS Foundation Trust,Q31,80,16,3,1,448,59,32,9,0,447,38,32,22,8,441,77,15,4,3,451,76,18,4,2,446,49,22,23,6,443,76,15,9,0,435,5,3,18,55,18,451,4,4,18,56,18,451,5,4,22,52,18,450,
RAE,Bradford Teaching Hospitals NHS Foundation Trust,Q32,72,20,8,0,305,42,35,21,2,295,39,30,26,5,301,69,16,9,7,302,64,23,10,2,301,43,21,28,8,298,77,11,10,2,293,4,4,18,49,25,308,4,3,10,55,28,307,4,5,17,49,25,306,
RXH,Brighton And Sussex University Hospitals NHS Trust,Q37,67,25,7,0,367,60,34,6,1,365,26,36,29,9,363,62,28,5,5,362,52,34,11,4,359,25,25,38,13,359,69,16,14,2,357,4,5,23,47,21,367,5,4,18,52,22,367,3,6,30,41,19,366,
RXQ,Buckinghamshire Healthcare NHS Trust,Q38,70,22,7,1,428,63,24,12,1,426,37,30,25,7,422,77,16,4,3,428,77,16,5,1,428,57,19,18,6,426,77,11,11,1,421,6,9,23,49,14,434,7,6,15,55,18,431,6,7,25,48,13,431,
RJF,Burton Hospitals NHS Foundation Trust,Q34,66,27,6,2,375,47,46,5,1,371,37,44,12,7,365,72,19,3,6,375,76,19,3,2,378,40,35,17,9,363,76,15,7,2,371,3,5,21,58,13,373,5,4,16,53,22,377,4,5,27,50,14,375,
RWY,Calderdale and Huddersfield NHS Foundation Trust,Q32,70,21,8,1,489,45,27,25,3,471,32,28,30,10,481,68,19,5,8,487,85,11,3,1,491,44,29,21,7,477,70,16,13,1,470,4,3,19,54,19,489,4,3,18,55,21,493,3,3,23,52,19,486,
RGT,Cambridge University Hospitals NHS Foundation Trust,Q35,69,20,9,2,387,55,29,15,1,380,37,28,27,9,381,58,28,6,8,380,66,26,6,2,383,53,24,18,5,380,79,11,9,1,384,7,4,18,52,19,385,7,4,15,53,22,386,7,4,22,48,18,385,
RW3,Central Manchester University Hospitals NHS Foundation Trust,Q31,80,13,6,1,385,70,20,8,1,382,45,29,20,5,374,77,12,4,7,382,68,18,10,4,380,65,14,15,5,377,80,11,7,1,376,7,4,22,50,17,385,7,3,17,56,18,384,6,4,25,50,15,377,
